Label,Grid Ref,pH,Conductivity,Sulfate (SO4),Alkalinity,Aluminium (Al),Thallium (Tl),Zinc (Zn),Lead (Pb),Bismuth (Bi),Cadmium (Cd),Nickel (Ni),Cobalt (Co),Boron (B),Manganese (Mn),Iron (Fe),Magnesium (Mg),Chromium (Cr),Gallium (Ga),Calcium (Ca),Copper (Cu),Indium (In),Silver (Ag),Strontium (Sr),Barium (Ba),Sodium (Na),Lithium (Li),Potassium (K),Hardness (mg/L CaCO3),Site
Headwaters,"54.4150, -2.0630",3.96,53.0,12.0,2.56,0.30651736861052387,-0.0014484563273877175,59.35143152779673,70.8195634090638,-0.003023287254703915,0.06452538163082758,0.8148503614200686,-15.399594737112443,2.6628156302901096,51.219693729126455,623.1321824492827,0.30383917276009353,1.8076420499067816,0.0044401393244951175,0.8477138835036043,2.0802179980811344,-0.002175788922847717,0.4386637961525971,0.010131756977124595,0.13998197757735242,2.397259288667076,0.0007359960297049348,0.2817602027824789,0.003365025317075394,Headwaters
Headwaters repeat,"54.415000, -2.063056",,,,3.51,0.31515657120427004,0.0002076270178692565,59.19110966267,69.97418475737742,-0.0016382833971963738,0.2369785704484983,1.1137221569924916,-16.05431051095147,1.4684596345009908,50.657848701157576,617.3096643175431,0.3059013579050167,1.6908137322517367,0.0022495926529150297,0.8588334819220501,1.964908823003431,-0.0019530937907785214,0.07697666979330761,0.010065462948027933,0.13983840683241003,2.4311182660858965,0.0007250589466767207,0.2853864179942512,0.0034012792722156937,Headwaters
Trib 1 US,"54.407328, -2.057052",4.58,39.0,12.0,11.1,0.6372457860677857,-0.0010760253484809455,293.9238266608238,1054.8993458228065,-0.00247797457716978,1.5389030696615427,2.2045754409944225,-16.119463182801326,4.1432753822562045,72.11846672963905,637.2859333483877,0.3935849900040493,3.7072512103593596,0.002589954259375159,3.437532653264931,5.666414395537482,0.0014116821240930924,0.37300580435382347,0.0667159924689289,0.7369393823495068,2.4487818328978728,0.0011111347224848174,0.1996745116513242,0.01020753009217893,Trib 1 US
Trib 1 US repeat,"54.407328, -2.057052",,,,10.12,0.6422024003941288,-0.0016316116965653619,292.59620698678793,1052.0323196135298,-0.0002466286041756641,1.4222893214985386,2.177655154781693,-15.857298128386242,2.545142985165305,71.40339085696816,632.748083798274,0.39265875246626375,3.852193448491565,0.0009365393345085897,3.4267081068183267,5.656689135041352,0.0011231344638484555,0.5322628326720401,0.06629959479366244,0.7365517248589306,2.4544208699252406,0.0010379847377532936,0.18789537847894502,0.010176671152157498,Trib 1 US
Trib 1,"54.407322, -2.057245",6.8,52.0,12.0,16.41,0.2845645410788538,-0.001738623796597597,88.8858191678698,56.141154186094724,-0.001753968315657696,0.48378062770500463,2.1684285609839784,-7.869458499321734,6.6785850819345995,48.6613583697848,322.73977262429173,0.4830170472381307,1.367124942850056,0.0038159046952288334,5.812051522351612,1.5380830428985148,0.0027403660317428503,0.5194155660365221,0.03489945217093776,0.2328865375559547,2.720118238127602,0.0008637672759460965,0.2003954602923008,0.016510498699555367,Trib 1
Trib 1 repeat,"54.407322, -2.057245",,,,16.34,0.28904594157007896,-0.0011507750083513968,89.19195429990461,55.66728531076726,0.0017085914023693201,0.3392133019256545,1.6320166555204272,-7.857078888621274,3.3977148410836273,48.03717115952075,323.24616923776324,0.48091182153994394,1.123387453039988,0.005073162933151769,5.816558900075102,1.6390604691140975,-0.00023145536901805113,0.5961856147911213,0.03482000741610261,0.23336123914248078,2.7481706791287337,0.0008030841663439047,0.19217604037209327,0.016513135718501527,Trib 1
Trib 1 DS,"54.407222, 	-2.056944",6.2,42.0,12.0,11.17,0.48527666717832924,-0.0009088387921214368,201.29112936991643,363.5513637206529,-0.0015784088257179512,1.1550606202994051,2.1361315463491235,-11.446987434949666,4.824099899529245,53.11552456590672,468.34082705214564,0.4139503581607538,1.699952239127096,0.001876903056041903,3.7815233663452923,4.685389090164725,-0.0006410493667917952,0.1769328214366447,0.05172046580253184,0.4759886162922838,2.531229975306833,0.0010552762880230832,0.22061290447159718,0.011151004884322321,Trib 1 DS
Trib 1 DS repeat,"54.407222, 	-2.056944",,,,11.46,0.4977487117654131,-0.0014539497675797267,200.33045476902737,362.20029363503033,0.0018326525696701094,1.1927295832394829,1.9301808606314377,-11.105410135924096,2.6499209415773355,52.70305078782606,465.160369984088,0.4163212832558283,1.5388651615400237,0.003168108608567017,3.8070665676721305,4.921037746454175,0.0009440365686056275,0.008486040140382792,0.051540364652524144,0.47599899272364815,2.564947484576351,0.0009609545277967256,0.19513838294255323,0.011224583680529223,Trib 1 DS
Hard LV US,"54.401111, -2.045833",7.32,67.0,5.0,23.92,0.2822996167820346,-0.0024214584778313175,153.08140672644805,233.12438695912687,-0.0007230101935906769,0.8383389834375026,1.6440227789864175,-10.200060195403582,1.903720327815195,32.83912119023632,395.38594342745745,0.7059181082143139,1.379444154160703,0.0010747123794394514,8.415979875040343,11.219153500506291,-0.0036615376414665213,-0.09064801394795466,0.09781518496082335,0.4577968621158807,2.7849962145323652,0.0014511404731576284,0.23248727207161382,0.023934213931279542,Hard LV US
Hard LV US repeat,"54.401111, -2.045833",,,,24.01,0.27809982617350837,-0.002274643009273406,153.3607993486157,232.95816599524696,-0.0023616301390726284,0.8406743103971239,2.0743639483180694,-9.949963747198339,2.9224241308906467,33.10650360850745,397.95227154927295,0.7093611440674561,1.5130579821241221,0.002617353828416198,8.436851389537189,11.063864911496552,0.0005263288005246085,0.5258494830258066,0.09866812314936202,0.45955827615505257,2.7666458618805088,0.0014770878240728178,0.2346604713517305,0.024000509164519544,Hard LV US
Hard LV,"54.401389, -2.045556",7.81,212.0,25.0,86.7,0.12035692448986766,-0.0007942231602463438,589.3239389799509,112.28116276641538,-0.002187363634790642,4.589784733311491,2.8418463855911615,-2.1702085124030788,7.194021578091139,4.475480206470728,84.2209959963298,2.932544736734703,0.9500252828528042,0.0015464659090155812,29.862723381414472,3.1962760341884557,0.0003418613421084699,0.4960403048155297,0.49164515200111203,0.37026978999818266,3.4028294037814484,0.00871631610810397,0.6133727839577334,0.08668024187414847,Hard LV
Hard LV repeat,"54.401389, -2.045556",,,,86.1,0.12383762984576369,-0.0031959601080415296,587.5303588074568,111.81729771500164,-0.0006908763711893644,4.641111353478449,2.9261688796167076,-1.9758121229740753,5.873539397086899,4.414366592892988,83.51605962796593,2.9184185477337317,0.8929661295605522,0.0010606957416672864,29.645470341972125,3.1877012120615795,0.0009718632833341763,0.41633101527455746,0.489130828723874,0.3683366835356452,3.388369405295349,0.008562725059845405,0.6147614636639439,0.0860791919006386,Hard LV
Trib 2,"54.401389, -2.045278",7.9,111.0,10.0,40.23,0.11621579305441328,-0.0009539636718782756,202.10061294712685,49.02289603204904,0.00019859978964807765,0.34441436175708195,1.580311049372578,-2.5234072766808295,4.614677021323107,9.65269531851329,114.35310488839704,0.8507795485332319,1.1266210918821695,0.0021632765314716163,14.814768440944617,1.3190919138402177,-0.0024540754382689507,0.1820917290217566,0.06898115189073968,0.1838296409373447,3.4210889937167646,0.0030960405106468525,0.3604531315253203,0.040525117251347796,Trib 2
Trib 2 repeat,"54.401389, -2.045278",,,,40.67,0.11863216180890974,-0.0015599962372254434,202.33444119113906,48.69080831363841,3.888185949905181e-05,0.47692845090864355,1.5214132735586055,-2.8517345588757514,2.850701369757753,9.587336274541963,114.98449208889376,0.8540470961732574,1.052890390276694,0.0023517058844245756,14.89437348747301,1.3620663984584869,-0.00034691389208015656,0.44828932653077225,0.06876706490811291,0.18430166249340973,3.4691145174237725,0.0030340490881591692,0.34453499239003743,0.04073752681299288,Trib 2
SPENCE level,"54.40116, -2.04433",7.97,136.0,4.0,51.43,0.13030325861004863,-0.0019243036335420927,139.8491628450836,99.86713115484869,-0.00016014814303847198,0.6932368137967044,1.6198795199181746,-3.5837282167548503,3.878786070367225,12.201770726416802,151.2419830615973,1.4066838369445118,1.0865329572318538,0.0020332635093037498,18.298357988723396,2.7817256586549837,-0.004724734019230949,0.3701786603820369,0.13083350488817724,0.2993605849684482,3.103711804060815,0.003029002256503044,0.3550587006408157,0.05151329870328099,SPENCE level
SPENCE level repeat,"54.40116, -2.04433",,,,51.3,0.13062763769404137,-0.0007954371749141915,138.94282571997763,99.85921331314125,-0.0017529874516052143,0.7144890660492996,1.2016717393255416,-3.4952522864439213,3.006315410085606,12.045021820186602,149.8755690075448,1.402446630547315,1.2222298212975442,0.0035427828033019223,18.204814415206183,2.8376670580997647,-0.001607797092255661,0.3273244102846088,0.12953043020212654,0.2970148134978298,3.089664370415607,0.0029648967566244743,0.350478919655294,0.05126206722325945,SPENCE level
Trib 3 US/SPENCE Lv DS,"54.4003, -2.04192",8.07,171.0,8.0,56.82,0.1622968759661982,1.911514183113418e-05,315.75630391465074,139.19187687884923,-0.0036984728419655727,2.291890528576624,2.1642828991869854,-3.9453460016414175,4.131894034684746,13.451842959363816,172.52698533789146,1.84958459276012,1.219884764690769,0.0015038088531603045,19.90848756172968,6.356185118740164,-0.002270775681999332,0.4027418312074231,0.28563598059414536,0.4251046207726808,3.2083647153190795,0.004795257643959306,0.4223895789815198,0.05735451573464069,Trib 3 US/SPENCE Lv DS
Trib 3 US/SPENCE Lv DS repeat,"54.4003, -2.04192",,,,57.51,0.1627611252595801,-0.002364218525554508,316.29925717260403,138.85428787832774,-0.0001308889843580316,2.277464287497412,2.23780151656632,-4.364937625008859,5.336354150741696,13.463550448208801,173.87370033453644,1.8424473262296843,1.2737731821089637,0.0018574041268252896,19.955951952114525,6.308541484351802,0.0006836941692901797,0.6745651313058595,0.2863610388208035,0.42586508643421667,3.1909782362786756,0.0048761809359111905,0.444614423860852,0.05744391391782802,Trib 3 US/SPENCE Lv DS
Trib 3,"54.40059, -2.04154",7.85,140.0,7.0,54.43,0.0888768233781327,-0.0007117236954874577,60.247339113981894,21.41436372545005,-0.0026636646087722995,0.026032223189951575,1.0772426705963767,-3.4158206929353554,4.292965758005117,20.59190027590632,133.55619070743603,1.0140967823887388,1.1321672459904608,0.0015377347326597866,20.095509055867556,3.4843634539847517,-0.0004357637705465213,0.2704270149228482,0.09371905790101549,0.18287847470572827,3.5174405773499555,0.0016663379512812046,0.33635515444184544,0.05439656944746272,Trib 3
Trib 3 repeat,"54.40059, -2.04154",,,,53.95,0.09199317877739334,-0.002105965944907334,60.53685934356045,21.89947427661597,-0.002038833980460099,0.21221772008163242,0.7920209310909218,-2.9221350797282586,2.535282187303568,20.49896186814156,133.15977193040965,1.0032416038429726,1.077944089259824,0.0035711404795540844,19.911125816018814,3.586693942392844,-0.0039951924010942575,0.3786553591582935,0.09312744452380062,0.1818489771172029,3.488129621948245,0.0016036239684993209,0.32131930470725206,0.053891105115803216,Trib 3
Trib 3 DS,"54.39998, -2.04077",7.67,146.0,7.0,56.82,0.16419897475704848,-0.0020622664690787738,293.3971636806045,124.66067593503776,-0.0021773273427328093,1.8395184588450713,1.7852934379962506,-5.520374986977039,5.432771341044627,12.985601954989274,218.75132172729494,1.7557059405019952,1.2971847138095107,0.0035386087507122328,19.85910924770285,6.585316382608765,-0.003996871242499176,0.4769699374258391,0.2646074253689323,0.40380307888543204,3.185333579544699,0.004496026222629903,0.41864740215552976,0.056846167475315304,Trib 3 DS
Trib 3 DS repeat,"54.39998, -2.04077",,,,56.54,0.16861069528613462,-0.0016491017783946571,293.34631554875483,126.17204849718733,0.0010359138503749333,2.118828596064284,2.3062991885753643,-5.204621387267737,4.094286488152487,12.963500182338128,217.6974709749423,1.7496947005912704,1.1074709611047044,0.0023513945945962318,19.789518550831787,6.517633745754823,-0.0009361891471108709,0.5066525944592382,0.26351462624782124,0.4039897192641558,3.1982044305753186,0.004424552648681598,0.40535142151142756,0.056647544649503674,Trib 3 DS
Catchment outflow,"54.39469, -2.01959",8.07,154.0,4.0,61.61,0.12006571345440652,-0.001882122841437438,196.21418724300477,95.54858211797057,0.00014206408831280598,1.3359157289718808,1.5202861648972659,-5.367543079169941,3.698038116124213,9.63040512489397,217.32525823808967,1.731684103696381,1.120907600409777,0.005053721330613748,21.829152567404154,6.77507923660297,-0.0030035728013051138,-0.14318874057570408,0.2478190670024444,0.6649928503684154,3.2856354145796147,0.003668224153281762,0.4103528922096709,0.06167278624366555,Catchment outflow
Catchment outflow repeat,"54.39469, -2.01959",,,,61.37,0.11772719391791397,-0.00047072504837874975,196.07437365637867,95.12181063576242,0.0010439775964830491,1.3141110042351087,1.5171910958758483,-5.3809379091899014,4.849340879517663,9.674067058420524,217.13560345693747,1.7245071924235253,1.1852133972158203,0.002390379443847569,21.758275840977465,6.87908440832427,-0.002244795683327599,0.5514640223083018,0.24821935104014506,0.6626394134726629,3.2793299498634085,0.0037128506346610743,0.42378536123488825,0.06146616909138011,Catchment outflow
River Swale US,"54.3814, -1.97803",8.44,275.0,2.0,107.2,0.014519834722366516,0.00153758863917055+H27:AC34,31.41288075912007,-0.27784294155941663,0.003818578405303761,0.25776106933446197,0.9550934371865435,-1.1361860069156284,12.696203595613907,12.590162084309272,49.79899925311425,3.8851999984140435,0.2671407541148017,0.000946154411345447,37.70587684929532,0.7130244352595735,-0.006595992772925636,0.00577303002576117,0.24389979886607335,0.19652057807062792,6.374206809122042,0.005010755019548493,1.038546674777483,0.11019401211673588,River Swale US
River Swale US repeat,"54.3814, -1.97803",,,5.0,106.4,0.014796683157488675,0.000555233086686326,31.53521786864571,0.1879258903831875,0.006606106962491715,0.23933831217064486,1.0632643703235827,-1.3695121137386965,11.471792819167959,12.420238237200875,48.194567727197786,3.878853820043945,-0.0300773481021856,0.001119691718178639,37.33436669808232,0.37731817945190727,-0.00899404714343312,0.21290656940126382,0.24130116096795587,0.19598388642231393,6.2901958197564865,0.00496875971480482,1.023723071534783,0.10923921740738599,River Swale US
OGB before swale confluence,"54.38187, -1.97741",8.32,238.0,0.0,84.27,0.02201040636887012,0.0010063906037402536,86.96968306096107,9.119884360516668,0.005606524984502992,0.8361815506121656,0.4223040487161893,-0.7878406479088388,7.79983442988821,0.6397855001590027,14.463865415730822,3.2214998570845292,0.013554222995602295,-0.002125681265627359,33.972692803004065,0.5640946830196073,-0.00775698771848532,0.2989259853261642,0.30040720542729565,1.0552150044979465,4.261296571638774,0.0035930461625108523,0.5633445176921676,0.09813988142155673,OGB before swale confluence
OGB before swale confluence repeat,"54.38187, -1.97741",,,1.0,89.6,0.021890189737381466,-1.8024570000536156e-05,87.09503725308859,10.039028870199825,0.008346472781099061,0.8007266277287408,0.5885560022285052,-0.49450083787593924,6.9792921654462345,0.7007937165160618,14.148201199317684,3.1991176061949,0.13839091410209453,-0.0013577282266223083,33.613125988577,0.575662503166947,-0.006519260443502935,-0.41781288211662265,0.29777857028492005,1.0538470290011033,4.189661173197638,0.003602138319876078,0.5592039039590888,0.09714919715684162,OGB before swale confluence
River Swale DS,"54.38187, -1.97616",8.56,270.0,0.0,98.4,0.013413367202334185,0.0009823402713690541,34.04437538866568,1.337425067990651,0.005027992312781135,0.3466123741256952,0.9694828039547347,-1.1244445662360505,12.089837864646002,12.296251280184329,38.80098373578337,3.752165070476431,0.16837636985925208,0.0006983737275685058,36.892689311420504,1.883972924968021,-0.0035781963579337803,-0.05013676890918141,0.2535107406942351,0.3143804290608813,5.966782787425011,0.004910228339401616,0.8635157283167696,0.10761560006750463,River Swale DS
River Swale DS repeat,"54.38187, -1.97616",,,2.0,98.2,0.01309214800959835,-0.0003300158291346088,34.46120782596767,0.9354341107039813,0.008734754577352472,0.21363142359214884,0.9837417580758174,-1.2181967625882149,11.301597764670435,12.325395052518692,38.27622648227832,3.7260431956336935,0.20153723381740588,-0.000661505790528356,36.38423641040993,2.290459898086838,-0.0050626204592553814,0.23798721980028684,0.25226758471922944,0.3146124714612159,5.886374467535885,0.004855772720067646,0.8508283929862116,0.10623736812812298,River Swale DS
Healaugh Spring,"54.38689, -1.97458",8.37,404.0,0.02,162.93,0.003009258684699124,0.0010078628687116636,0.9903621101967949,1.061515397678209,0.0017758795574271211,0.3471424858065107,1.1099932749191073,-0.10136567324002428,15.016244719135605,3.7799927286455577,6.474771308725243,8.883086672837898,0.5143629379511229,-0.0009455098914754931,56.50457753843464,0.35065939590572476,-0.0076061367650050345,0.3458743596344254,0.32837800504777404,0.15174506171960808,5.902246210764503,0.006410227708495547,1.215646944536713,0.177682099204722,Healaugh Spring
Healaugh Spring repeat,"54.38689, -1.97458",,,0.0,161.6,0.00436469178111883,0.00019789867210923462,1.42619139797794,1.1268351219875377,0.005317797746280898,0.17177320836779045,1.0350123231308592,0.10977351957800668,14.02667625341549,4.17357757704244,6.741106966809723,8.978281139096122,0.45463988810596195,0.002236951172311047,57.04216373797572,0.4131972189433904,-0.00559517734875108,0.5108094011324433,0.33426135652727046,0.16398429631547384,5.906935257357621,0.006431451157987396,1.2319026100412367,0.17941636201523342,Healaugh Spring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
