Site,Metal,Mean Concentration (µg/L),Threshold Type,Threshold (µg/L),Exceedance
Catchment outflow,Cadmium (Cd),1.325013366603495,MAC-EQS,,False
Hard LV,Cadmium (Cd),4.61544804339497,MAC-EQS,,False
Hard LV US,Cadmium (Cd),0.8395066469173132,MAC-EQS,,False
Headwaters,Cadmium (Cd),0.1507519760396629,MAC-EQS,,False
Healaugh Spring,Cadmium (Cd),0.2594578470871506,MAC-EQS,,False
OGB before swale confluence,Cadmium (Cd),0.8184540891704533,MAC-EQS,,False
River Swale DS,Cadmium (Cd),0.280121898858922,MAC-EQS,,False
River Swale US,Cadmium (Cd),0.2485496907525534,MAC-EQS,,False
SPENCE level,Cadmium (Cd),0.7038629399230021,MAC-EQS,,False
Trib 1,Cadmium (Cd),0.4114969648153296,MAC-EQS,,False
Trib 1 DS,Cadmium (Cd),1.173895101769444,MAC-EQS,,False
Trib 1 US,Cadmium (Cd),1.4805961955800406,MAC-EQS,,False
Trib 2,Cadmium (Cd),0.4106714063328627,MAC-EQS,,False
Trib 3,Cadmium (Cd),0.119124971635792,MAC-EQS,,False
Trib 3 DS,Cadmium (Cd),1.9791735274546776,MAC-EQS,,False
Trib 3 US/SPENCE Lv DS,Cadmium (Cd),2.291890528576624,MAC-EQS,,False
Trib 3 USSPENCE Lv DS,Cadmium (Cd),2.277464287497412,MAC-EQS,,False
Catchment outflow,Lead (Pb),95.33519637686648,AA-EQS,1.2,True
Hard LV,Lead (Pb),112.04923024070852,AA-EQS,1.2,True
Hard LV US,Lead (Pb),233.0412764771869,AA-EQS,1.2,True
Headwaters,Lead (Pb),70.39687408322061,AA-EQS,1.2,True
Healaugh Spring,Lead (Pb),1.0941752598328731,AA-EQS,1.2,False
OGB before swale confluence,Lead (Pb),9.579456615358248,AA-EQS,1.2,True
River Swale DS,Lead (Pb),1.1364295893473162,AA-EQS,1.2,False
River Swale US,Lead (Pb),-0.0449585255881145,AA-EQS,1.2,False
SPENCE level,Lead (Pb),99.86317223399496,AA-EQS,1.2,True
Trib 1,Lead (Pb),55.90421974843099,AA-EQS,1.2,True
Trib 1 DS,Lead (Pb),362.8758286778416,AA-EQS,1.2,True
Trib 1 US,Lead (Pb),1053.4658327181685,AA-EQS,1.2,True
Trib 2,Lead (Pb),48.85685217284373,AA-EQS,1.2,True
Trib 3,Lead (Pb),21.65691900103301,AA-EQS,1.2,True
Trib 3 DS,Lead (Pb),125.41636221611256,AA-EQS,1.2,True
Trib 3 US/SPENCE Lv DS,Lead (Pb),139.19187687884923,AA-EQS,1.2,True
Trib 3 USSPENCE Lv DS,Lead (Pb),138.85428787832774,AA-EQS,1.2,True
Catchment outflow,Nickel (Ni),1.518738630386557,AA-EQS,4.0,False
Hard LV,Nickel (Ni),2.8840076326039346,AA-EQS,4.0,False
Hard LV US,Nickel (Ni),1.8591933636522435,AA-EQS,4.0,False
Headwaters,Nickel (Ni),0.96428625920628,AA-EQS,4.0,False
Healaugh Spring,Nickel (Ni),1.0725027990249831,AA-EQS,4.0,False
OGB before swale confluence,Nickel (Ni),0.5054300254723473,AA-EQS,4.0,False
River Swale DS,Nickel (Ni),0.976612281015276,AA-EQS,4.0,False
River Swale US,Nickel (Ni),1.0091789037550631,AA-EQS,4.0,False
SPENCE level,Nickel (Ni),1.410775629621858,AA-EQS,4.0,False
Trib 1,Nickel (Ni),1.900222608252203,AA-EQS,4.0,False
Trib 1 DS,Nickel (Ni),2.0331562034902806,AA-EQS,4.0,False
Trib 1 US,Nickel (Ni),2.1911152978880577,AA-EQS,4.0,False
Trib 2,Nickel (Ni),1.5508621614655915,AA-EQS,4.0,False
Trib 3,Nickel (Ni),0.9346318008436492,AA-EQS,4.0,False
Trib 3 DS,Nickel (Ni),2.0457963132858072,AA-EQS,4.0,False
Trib 3 US/SPENCE Lv DS,Nickel (Ni),2.1642828991869854,AA-EQS,4.0,False
Trib 3 USSPENCE Lv DS,Nickel (Ni),2.23780151656632,AA-EQS,4.0,False
Catchment outflow,Zinc (Zn),196.1442804496917,AA-EQS,10.9,True
Hard LV,Zinc (Zn),588.4271488937038,AA-EQS,10.9,True
Hard LV US,Zinc (Zn),153.22110303753186,AA-EQS,10.9,True
Headwaters,Zinc (Zn),59.27127059523336,AA-EQS,10.9,True
Healaugh Spring,Zinc (Zn),1.2082767540873671,AA-EQS,10.9,False
OGB before swale confluence,Zinc (Zn),87.03236015702484,AA-EQS,10.9,True
River Swale DS,Zinc (Zn),34.252791607316674,AA-EQS,10.9,True
River Swale US,Zinc (Zn),31.47404931388289,AA-EQS,10.9,True
SPENCE level,Zinc (Zn),139.39599428253064,AA-EQS,10.9,True
Trib 1,Zinc (Zn),89.03888673388721,AA-EQS,10.9,True
Trib 1 DS,Zinc (Zn),200.81079206947192,AA-EQS,10.9,True
Trib 1 US,Zinc (Zn),293.26001682380587,AA-EQS,10.9,True
Trib 2,Zinc (Zn),202.21752706913296,AA-EQS,10.9,True
Trib 3,Zinc (Zn),60.39209922877117,AA-EQS,10.9,True
Trib 3 DS,Zinc (Zn),293.37173961467965,AA-EQS,10.9,True
Trib 3 US/SPENCE Lv DS,Zinc (Zn),315.75630391465074,AA-EQS,10.9,True
Trib 3 USSPENCE Lv DS,Zinc (Zn),316.29925717260403,AA-EQS,10.9,True
Catchment outflow,Cobalt (Co),-5.374240494179921,AA-EQS,3.0,False
Hard LV,Cobalt (Co),-2.073010317688577,AA-EQS,3.0,False
Hard LV US,Cobalt (Co),-10.07501197130096,AA-EQS,3.0,False
Headwaters,Cobalt (Co),-15.726952624031956,AA-EQS,3.0,False
Healaugh Spring,Cobalt (Co),0.0042039231689912,AA-EQS,3.0,False
OGB before swale confluence,Cobalt (Co),-0.641170742892389,AA-EQS,3.0,False
River Swale DS,Cobalt (Co),-1.1713206644121326,AA-EQS,3.0,False
River Swale US,Cobalt (Co),-1.2528490603271625,AA-EQS,3.0,False
SPENCE level,Cobalt (Co),-3.5394902515993856,AA-EQS,3.0,False
Trib 1,Cobalt (Co),-7.863268693971504,AA-EQS,3.0,False
Trib 1 DS,Cobalt (Co),-11.27619878543688,AA-EQS,3.0,False
Trib 1 US,Cobalt (Co),-15.988380655593785,AA-EQS,3.0,False
Trib 2,Cobalt (Co),-2.6875709177782907,AA-EQS,3.0,False
Trib 3,Cobalt (Co),-3.168977886331807,AA-EQS,3.0,False
Trib 3 DS,Cobalt (Co),-5.362498187122388,AA-EQS,3.0,False
Trib 3 US/SPENCE Lv DS,Cobalt (Co),-3.9453460016414175,AA-EQS,3.0,False
